Season,Player ID,Temp Player ID,Player,First Name,Last Name,Position,Body Fat %,Hand Length (in),Hand Width (in),Height without shoes (in),Height without shoes,Height with shoes (in),Height with shoes,Standing reach (in),Standing reach,Weight (lbs),Wingspan (in),Wingspan,Bench Press (reps),Lane Agility (sec),Max Vertical Leap (in),Modified Lane Agility (sec),Standing Vertical Leap (in),3/4 Court Sprint (sec),Spot-Up Coll 3 Left Wing Att,Spot-Up Coll 3 Left Wing Made,Spot-Up Coll 3 Left Wing %,Spot-Up Coll 3 Right Wing Att,Spot-Up Coll 3 Right Wing Made,Spot-Up Coll 3 Right Wing %,Spot-Up Coll 3 Left Corner Att,Spot-Up Coll 3 Left Corner Made,Spot-Up Coll 3 Left Corner %,Spot-Up Coll 3 Right Corner Att,Spot-Up Coll 3 Right Corner Made,Spot-Up Coll 3 Right Corner %,Spot-Up Coll 3 Top Att,Spot-Up Coll 3 Top Made,Spot-Up Coll 3 Top %,Spot-Up 15ft Left Wing Att,Spot-Up 15ft Left Wing Made,Spot-Up 15ft Left Wing %,Spot-Up 15ft Right Wing Att,Spot-Up 15ft Right Wing Made,Spot-Up 15ft Right Wing %,Spot-Up 15ft Left Corner Att,Spot-Up 15ft Left Corner Made,Spot-Up 15ft Left Corner %,Spot-Up 15ft Right Corner Att,Spot-Up 15ft Right Corner Made,Spot-Up 15ft Right Corner %,Spot-Up 15ft Top Att,Spot-Up 15ft Top Made,Spot-Up 15ft Top %,Spot-Up NBA 3 Left Wing Att,Spot-Up NBA 3 Left Wing Made,Spot-Up NBA 3 Left Wing %,Spot-Up NBA 3 Right Wing Att,Spot-Up NBA 3 Right Wing Made,Spot-Up NBA 3 Right Wing %,Spot-Up NBA 3 Left Corner Att,Spot-Up NBA 3 Left Corner Made,Spot-Up NBA 3 Left Corner %,Spot-Up NBA 3 Right Corner Att,Spot-Up NBA 3 Right Corner Made,Spot-Up NBA 3 Right Corner %,Spot-Up NBA 3 Top Att,Spot-Up NBA 3 Top Made,Spot-Up NBA 3 Top %,Off-Dribble Coll 3 Left Wing Att,Off-Dribble Coll 3 Left Wing Made,Off-Dribble Coll 3 Left Wing %,Off-Dribble Coll 3 Right Wing Att,Off-Dribble Coll 3 Right Wing Made,Off-Dribble Coll 3 Right Wing %,Off-Dribble Coll 3 Top Att,Off-Dribble Coll 3 Top Made,Off-Dribble Coll 3 Top %,Off-Dribble 15ft Left Wing Att,Off-Dribble 15ft Left Wing Made,Off-Dribble 15ft Left Wing %,Off-Dribble 15ft Right Wing Att,Off-Dribble 15ft Right Wing Made,Off-Dribble 15ft Right Wing %,Off-Dribble 15ft Top Att,Off-Dribble 15ft Top Made,Off-Dribble 15ft Top %,On-Move Coll 3 Att,On-Move Coll 3 Made,On-Move Coll 3 %,On-Move 15ft Att,On-Move 15ft Made,On-Move 15ft %
2021,1630531,1630531,Jaden Springer,Jaden,Springer,SG,6.3,8.5,9.75,75,6'3.0'',76.25,6'4.25'',99,8'3.0'',202,79.75,6'7.75'',,11.46,41.5,3.1,34.5,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1630224,1630224,Jalen Green,Jalen,Green,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1630552,1630552,Jalen Johnson,Jalen,Johnson,PF,4.5,9.75,10.5,79.75,6'7.75'',81.25,6'9.25'',106,8'10.0'',209.6,84.25,7'0.25'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1630547,1630547,James Bouknight,James,Bouknight,SG,5.5,8.75,9,75.5,6'3.5'',76.75,6'4.75'',101.5,8'5.5'',190,80.25,6'8.25'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1630215,1630215,Jared Butler,Jared,Butler,PG,5.1,8.5,8.25,74.25,6'2.25'',75.75,6'3.75'',98.5,8'2.5'',193,76,6'4.0'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1630554,1630554,Jason Preston,Jason,Preston,PG,5.45,8.5,9.25,75,6'3.0'',76,6'4.0'',100.5,8'4.5'',180.6,80.5,6'8.5'',,10.82,38.5,3.08,30.5,3.13,,,,,,,25,13,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,14,0.467,,,,,,,,,,,,,,,,25,11,0.44,,,
2021,1630526,1630526,Jeremiah Robinson-Earl,Jeremiah,Robinson-Earl,PF,8.9,9,9.75,79.75,6'7.75'',81,6'9.0'',105.5,8'9.5'',242.4,81.75,6'9.75'',,11.64,32,3.15,27,3.29,,,,,,,25,15,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,17,0.567,,,,,,,,,,,,,,,,25,12,0.48,,,
2021,1630579,1630579,Jericho Sims,Jericho,Sims,C,5.5,9,9.75,81,6'9.0'',82,6'10.0'',106,8'10.0'',250.2,87.25,7'3.25'',,11.59,44.5,3.38,37,3.05,,,,,,,25,9,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,15,0.5,,,,,,,,,,,,,,,,25,12,0.48,,,
2021,1630580,1630580,Joe Wieskamp,Joe,Wieskamp,SF,4.1,8.5,9.25,77.75,6'5.75'',79.25,6'7.25'',103,8'7.0'',204.8,83,6'11.0'',,10.7,42,3.18,30,3.04,,,,,,,25,17,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,21,0.7,,,,,,,,,,,,,,,,25,12,0.48,,,
2021,1630566,1630566,John Petty Jr.,John,Petty Jr.,SG,5.6,8.5,9,76.5,6'4.5'',77.75,6'5.75'',103.5,8'7.5'',186.2,81.5,6'9.5'',,11.51,34,3.17,27.5,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1630548,1630548,Johnny Juzang,Johnny,Juzang,SG,8,8.5,9.5,77.5,6'5.5'',79,6'7.0'',100.5,8'4.5'',209,82.5,6'10.5'',,11.13,36.5,3.08,31,3.13,,,,,,,25,17,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,24,0.8,,,,,,,,,,,,,,,,25,17,0.68,,,
2021,1630228,1630228,Jonathan Kuminga,Jonathan,Kuminga,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1630528,1630528,Josh Christopher,Josh,Christopher,SG,5.8,8.75,8.5,75.25,6'3.25'',76.5,6'4.5'',101,8'5.0'',214.8,81.25,6'9.25'',,11.32,37.5,3.3,29.5,3.14,,,,,,,25,16,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,23,0.767,,,,,,,,,,,,,,,,25,11,0.44,,,
2021,1630563,1630563,Joshua Primo,Joshua,Primo,SG,6.3,9,10,76,6'4.0'',77,6'5.0'',102.5,8'6.5'',189,81.25,6'9.25'',,10.97,37.5,3.36,30.5,3.22,,,,,,,25,12,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,16,0.533,,,,,,,,,,,,,,,,25,14,0.56,,,
2021,1630550,1630550,JT Thor,JT,Thor,PF,6.1,9.25,9.5,80.5,6'8.5'',81.25,6'9.25'',110,9'2.0'',203,87.25,7'3.25'',,12.19,35,3.08,31.5,3.06,,,,,,,25,12,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,19,0.633,,,,,,,,,,,,,,,,25,15,0.6,,,
2021,1630577,1630577,Julian Champagnie,Julian,Champagnie,SF,8,9,8.5,78.5,6'6.5'',79.5,6'7.5'',106.5,8'10.5'',217.4,82,6'10.0'',,12.38,32,3.2,26,3.2,,,,,,,25,14,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,15,0.5,,,,,,,,,,,,,,,,25,19,0.76,,,
2021,1630551,1630551,Justin Champagnie,Justin,Champagnie,PF,6.3,8.75,8.5,77.75,6'5.75'',78.75,6'6.75'',104,8'8.0'',206.4,81.5,6'9.5'',,11.94,35,3.14,27,3.34,,,,,,,25,18,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,17,0.567,,,,,,,,,,,,,,,,25,9,0.36,,,
2021,1630539,1630539,Kai Jones,Kai,Jones,PF,4.7,9,9.5,82,6'10.0'',83.5,6'11.5'',110.5,9'2.5'',221.4,85.75,7'1.75'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1630553,1630553,Keon Johnson,Keon,Johnson,SG,4.4,8.5,9,75.5,6'3.5'',76.75,6'4.75'',97,8'1.0'',184.8,79.25,6'7.25'',,11.45,48,3.2,41.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1630556,1630556,Kessler Edwards,Kessler,Edwards,PF,4.3,8.5,8.25,79,6'7.0'',80,6'8.0'',106,8'10.0'',203,83.25,6'11.25'',,11.3,37,3.38,28,3.25,,,,,,,25,16,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,19,0.633,,,,,,,,,,,,,,,,25,12,0.48,,,
2021,1630568,1630568,Luka Garza,Luka,Garza,C,11.7,9,9.25,82,6'10.0'',83.25,6'11.25'',107.5,8'11.5'',242.8,85.5,7'1.5'',,11.9,29.5,3.38,24,3.51,,,,,,,25,17,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,19,0.633,,,,,,,,,,,,,,,,25,17,0.68,,,
2021,1630588,1630588,Makur Maker,Makur,Maker,C,14.5,8.75,9.5,82.25,6'10.25'',83.25,6'11.25'',112,9'4.0'',232.2,85.75,7'1.75'',,11.87,31,3.28,25.5,3.34,,,,,,,25,16,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,22,0.733,,,,,,,,,,,,,,,,25,17,0.68,,,
2021,1630542,1630542,Marcus Bagley,Marcus,Bagley,SF,7.5,8.75,8.5,78,6'6.0'',79.75,6'7.75'',102.5,8'6.5'',216.8,83,6'11.0'',,12.26,38.5,3.1,32.5,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1630681,1630681,Marcus Zegarowski,Marcus,Zegarowski,PG,7.2,8,9.5,72.75,6'0.75'',74,6'2.0'',96,8'0.0'',180.8,74.75,6'2.75'',,11.47,35.5,3.26,30,3.11,,,,,,,25,15,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,24,0.8,,,,,,,,,,,,,,,,25,16,0.64,,,
2021,1630562,1630562,Matt Hurt,Matt,Hurt,PF,15.2,9,9,80.5,6'8.5'',81.5,6'9.5'',106.5,8'10.5'',232.4,81.5,6'9.5'',,11.44,32.5,3.25,25.5,3.34,,,,,,,25,22,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,18,0.6,,,,,,,,,,,,,,,,25,12,0.48,,,
2021,1630571,1630571,Matthew Mayer,Matthew,Mayer,PF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1630546,1630546,Max Abmas,Max,Abmas,PG,5.5,8,7.75,70.5,5'10.5'',71.75,5'11.75'',94,7'10.0'',161.8,73.75,6'1.75'',,10.9,32.5,3.49,28.5,3.12,,,,,,,25,21,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,23,0.767,,,,,,,,,,,,,,,,25,12,0.48,,,
2021,1630593,1630593,McKinley Wright IV,McKinley,Wright IV,PG,6.7,8.5,9,71.25,5'11.25'',72.25,6'0.25'',94,7'10.0'',192.2,77.25,6'5.25'',,10.76,38,3.12,31.5,3.08,,,,,,,25,13,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,22,0.733,,,,,,,,,,,,,,,,25,14,0.56,,,
2021,1630540,1630540,Miles McBride,Miles,McBride,PG,6,9,9.5,73,6'1.0'',74.5,6'2.5'',99.5,8'3.5'',195.2,80.75,6'8.75'',,11.08,38.5,3.13,31,3.1,,,,,,,25,17,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,19,0.633,,,,,,,,,,,,,,,,25,13,0.52,,,
2021,1630541,1630541,Moses Moody,Moses,Moody,SG,6.8,9,10,76.5,6'4.5'',78,6'6.0'',105,8'9.0'',210.6,84.75,7'0.75'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1630589,1630589,Moses Wright,Moses,Wright,PF,5.6,9,9.5,79.75,6'7.75'',81,6'9.0'',107,8'11.0'',225.8,84.75,7'0.75'',,11.2,38,3.42,31.5,3.15,,,,,,,25,7,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,11,0.367,,,,,,,,,,,,,,,,25,7,0.28,,,
2021,1630538,1630538,Nah'Shon Hyland,Nah'Shon,Hyland,SG,5.8,8.75,9,74,6'2.0'',75.5,6'3.5'',101.5,8'5.5'',169,81.25,6'9.25'',,10.53,34,3.17,26.5,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1629674,1629674,Neemias Queta,Neemias,Queta,C,7.6,9.25,10.5,83.25,6'11.25'',84.5,7'0.5'',112.5,9'4.5'',248.4,88,7'4.0'',,11.85,33,3.5,27,3.29,,,,,,,25,9,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,20,0.667,,,,,,,,,,,,,,,,25,10,0.4,,,
2021,1630534,1630534,Ochai Agbaji,Ochai,Agbaji,SG,4.15,9,8.75,76.5,6'4.5'',77.5,6'5.5'',103.5,8'7.5'',214.4,82,6'10.0'',,10.88,41.5,3.1,32,3.13,,,,,,,25,15,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,21,0.7,,,,,,,,,,,,,,,,25,11,0.44,,,
2021,1629656,1629656,Quentin Grimes,Quentin,Grimes,SG,6.6,8.5,10,76,6'4.0'',77.25,6'5.25'',101,8'5.0'',205,80,6'8.0'',,11.09,38.5,3.33,30.5,3.07,,,,,,,25,16,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,22,0.733,,,,,,,,,,,,,,,,25,16,0.64,,,
2021,1630564,1630564,RaiQuan Gray,RaiQuan,Gray,PF,17.3,9.25,9,78.5,6'6.5'',79.75,6'7.75'',105,8'9.0'',268.6,82.75,6'10.75'',,11.69,31.5,3.3,26.5,3.25,,,,,,,25,8,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,15,0.5,,,,,,,,,,,,,,,,25,9,0.36,,,
2021,1630576,1630576,Roko Prkacin,Roko,Prkacin,PF,7,8.75,9.25,79.5,6'7.5'',81.25,6'9.25'',107,8'11.0'',225.4,83,6'11.0'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1630573,1630573,Sam Hauser,Sam,Hauser,SF,7.9,8.25,9,78.75,6'6.75'',80,6'8.0'',102,8'6.0'',217.4,81.25,6'9.25'',,11.14,34.5,3.07,28.5,3.34,,,,,,,25,19,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,28,0.933,,,,,,,,,,,,,,,,25,14,0.56,,,
2021,1630572,1630572,Sandro Mamukelashvili,Sandro,Mamukelashvili,C,7.8,9,9.5,81,6'9.0'',82,6'10.0'',106.5,8'10.5'',239.8,85.25,7'1.25'',,11.63,36.5,3.3,30.5,3.21,,,,,,,25,19,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,17,0.567,,,,,,,,,,,,,,,,25,15,0.6,,,
2021,1630567,1630567,Scottie Barnes,Scottie,Barnes,SF,5.3,9.25,10.25,79,6'7.0'',80,6'8.0'',108,9'0.0'',225.4,86.75,7'2.75'',,10.88,39.5,2.99,36,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1630575,1630575,Scottie Lewis,Scottie,Lewis,SF,4.7,8.75,9.75,76,6'4.0'',77.25,6'5.25'',101.5,8'5.5'',187.6,84,7'0.0'',,10.45,42,3.03,34,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1630536,1630536,Sharife Cooper,Sharife,Cooper,PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1630545,1630545,Terrence Shannon Jr.,Terrence,Shannon Jr.,SF,6.7,8,8,77.5,6'5.5'',78.5,6'6.5'',100,8'4.0'',206.6,80.25,6'8.25'',,11.51,39.5,3.12,32.5,3.21,,,,,,,25,16,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,21,0.7,,,,,,,,,,,,,,,,25,16,0.64,,,
2021,1630544,1630544,Tre Mann,Tre,Mann,PG,4.1,8,9,75.25,6'3.25'',76.25,6'4.25'',98.5,8'2.5'',177.6,76,6'4.0'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1630570,1630570,Trendon Watford,Trendon,Watford,PF,10.1,9.5,9.5,79.5,6'7.5'',80.75,6'8.75'',105,8'9.0'',237.4,86.25,7'2.25'',,11.69,35,3.23,28,3.27,,,,,,,25,9,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,15,0.5,,,,,,,,,,,,,,,,25,12,0.48,,,
2021,1630530,1630530,Trey Murphy III,Trey,Murphy III,SF,8.1,8.5,9,79.5,6'7.5'',81.25,6'9.25'',105.5,8'9.5'',206,84,7'0.0'',,11.65,38,3.32,34,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1630582,1630582,Yves Pons,Yves,Pons,PF,4,9,9.25,77.5,6'5.5'',78.75,6'6.75'',104,8'8.0'',206.4,84.75,7'0.75'',,10.89,42.5,3.05,36,3.1,,,,,,,25,15,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,18,0.6,,,,,,,,,,,,,,,,25,19,0.76,,,
2021,1630533,1630533,Ziaire Williams,Ziaire,Williams,SF,4.4,9,8.75,80.25,6'8.25'',81.75,6'9.75'',106.5,8'10.5'',188.4,82.25,6'10.25'',,10.69,39.5,3.04,34,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1630204,1630204,Ashton Hagans,Ashton,Hagans,PG,4.1,9,9,73.5,6'1.50'',74.5,6'2.50'',99.5,8'3.50'',193,80,6'8.00'',,10.82,36.5,2.5,29.5,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1630199,1630199,Cassius Stanley,Cassius,Stanley,SG,5.8,8.25,9,77,6'5.00'',78.2,6'6.25'',99.5,8'3.50'',201.6,79,6'7.00'',,11.4,44,2.43,34.5,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1630216,1630216,Cassius Winston,Cassius,Winston,PG,9,8.75,8.25,72.5,6'0.50'',73.5,6'1.50'',97,8'1.00'',196,78,6'6.00'',,11.15,28,2.74,24,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1629604,1629604,CJ Elleby,CJ,Elleby,SG-SF,4.2,8.75,10,77.5,6'5.50'',78.2,6'6.25'',100.5,8'4.50'',198.6,79.25,6'7.25'',,11.25,36.5,2.63,30.5,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1629653,1629653,Devon Dotson,Devon,Dotson,PG,4.6,8.25,10,72.5,6'0.50'',73.7,6'1.75'',95,7'11.00'',185.2,75,6'3.00'',,10.44,40.5,2.22,31.5,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1630190,1630190,Elijah Hughes,Elijah,Hughes,SF-SG,10.2,8.5,8.75,76.75,6'4.75'',78.5,6'6.50'',101.5,8'5.50'',229,79.5,6'7.50'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1630203,1630203,Grant Riller,Grant,Riller,PG-SG,5.4,8,8.5,72.25,6'0.25'',73,6'1.00'',96.5,8'0.50'',178.4,77.25,6'5.25'',,11.17,39.5,2.45,32.5,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1630193,1630193,Immanuel Quickley,Immanuel,Quickley,SG,8.2,8,8.75,74,6'2.00'',75,6'3.00'',99,8'3.00'',185.8,80.25,6'8.25'',,11.21,35.5,2.46,29.5,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1630198,1630198,Isaiah Joe,Isaiah,Joe,SG,4.7,8.25,8.25,75,6'3.00'',76.5,6'4.50'',101,8'5.00'',170.4,79.5,6'7.50'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1630191,1630191,Isaiah Stewart,Isaiah,Stewart,C,7.5,9,10.5,79.25,6'7.25'',80.5,6'8.50'',108.5,9'0.50'',243,88.75,7'4.75'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1630186,1630186,Jahmi'us Ramsey,Jahmi'us,Ramsey,SG,3.4,8.75,9.75,74.5,6'2.50'',75.7,6'3.75'',100.5,8'4.50'',193.4,78,6'6.00'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1630223,1630223,Jalen Harris,Jalen,Harris,SG,4.4,8.25,9.5,74.75,6'2.75'',76.2,6'4.25'',97.5,8'1.50'',193.4,79,6'7.00'',,10.59,42.5,2.49,37.5,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1630188,1630188,Jalen Smith,Jalen,Smith,PF-C,3.7,9.25,9.25,81.25,6'9.25'',82.2,6'10.25'',110,9'2.00'',224.6,86.25,7'2.25'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1630206,1630206,Jayden Scrubb,Jayden,Scrubb,SG-SF,3.7,8.25,9.75,77,6'5.00'',78.2,6'6.25'',104.5,8'8.50'',185.2,81.5,6'9.50'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1629670,1629670,Jordan Nwora,Jordan,Nwora,SF-PF,11.68,8.5,9.25,77.75,6'5.75'',79,6'7.00'',104,8'8.00'',223,82.25,6'10.25'',,11.29,35,2.66,29,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1630182,1630182,Josh Green,Josh,Green,SG-SF,6.8,8,8.75,76.5,6'4.50'',77.5,6'5.50'',101.5,8'5.50'',214,81.75,6'9.75'',,10.64,39.5,2.28,30.5,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1630221,1630221,Joshua Hall,Joshua,Hall,SF,7.6,8.75,9.5,78,6'6.00'',79.5,6'7.50'',104.5,8'8.50'',196.6,83,6'11.00'',,12.16,37.5,2.62,31.5,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1630232,1630232,Kahlil Whitney,Kahlil,Whitney,SF,5.3,9.25,10.25,77.5,6'5.50'',79,6'7.00'',105.5,8'9.50'',205,84.25,7'0.25'',,11.17,39,2.61,29,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1629700,1629700,Kaleb Wesson,Kaleb,Wesson,C,12.5,9,10.75,81.25,6'9.25'',82.2,6'10.25'',111.5,9'3.50'',252.6,87.5,7'3.50'',,11.73,27,2.64,21.5,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1630211,1630211,Karim Mane,Karim,Mane,PG-SG,3.73,8.5,9.75,77,6'5.00'',78,6'6.00'',102,8'6.00'',196,83,6'11.00'',,11.52,36,2.64,31,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1630231,1630231,Kenyon Martin Jr.,Kenyon,Martin Jr.,SF-PF,5.9,8.5,8.75,78,6'6.00'',79,6'7.00'',102,8'6.00'',213.2,79.25,6'7.25'',,11.93,38.5,2.58,31.5,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1629681,1629681,Killian Tillie,Killian,Tillie,PF,12.43,8.25,9.25,80.75,6'8.75'',82,6'10.00'',106,8'10.00'',221.6,80,6'8.00'',,11.6,32,2.62,27.5,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1630205,1630205,Lamar Stevens,Lamar,Stevens,SF-PF,6.8,8.5,9.75,77.75,6'5.75'',78.7,6'6.75'',101,8'5.00'',228,81,6'9.00'',,10.35,41,2.54,35,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
